time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1517.4709619425873,,,3.0948329e-03,208809,1091.28799,678.70916,2.2166616e+03,1.0115766e+01,4.7117012e+03,4.6073723e+00,,,1000000000000,,,,,1091.28799,2.8239025e-03,678.70916,3.1941924e-03,6.2860914e-02,-1.1588646e-01
1517.4723508353172,,,3.0948373e-03,208810,1091.28243,678.70854,2.2159907e+03,1.0098294e+01,4.6862407e+03,4.5968299e+00,,,1000000000000,,,,,1091.28243,2.8228341e-03,678.70854,3.1876909e-03,6.2528029e-02,-1.1632739e-01
1517.473739728046,,,3.0948417e-03,208811,1091.28946,678.71092,2.2089709e+03,1.0082952e+01,4.6709438e+03,4.5901141e+00,,,1000000000000,,,,,1091.28946,2.8281840e-03,678.71092,3.1906471e-03,6.5442197e-02,-1.0840616e-01
1517.4751286207766,,,3.0948461e-03,208812,1091.28496,678.70884,2.1874514e+03,1.0047666e+01,4.6408535e+03,4.5791502e+00,,,1000000000000,,,,,1091.28496,2.8430598e-03,678.70884,3.2147786e-03,6.3836753e-02,-1.1232456e-01
1517.4765175135071,,,3.0948506e-03,208813,1091.28420,678.71012,2.2355146e+03,1.0051908e+01,4.6103843e+03,4.5657377e+00,,,1000000000000,,,,,1091.28420,2.7848834e-03,678.71012,3.1447553e-03,6.1813481e-02,-1.1345264e-01
1517.4779064064687,,,3.0948552e-03,208814,1091.28515,678.71523,2.2256924e+03,1.0029003e+01,4.5895288e+03,4.5568585e+00,,,1000000000000,,,,,1091.28515,2.7887933e-03,678.71523,3.1513511e-03,6.1336379e-02,-1.1003693e-01
1517.479295299198,,,3.0948597e-03,208815,1091.28102,678.71403,2.2161125e+03,1.0008913e+01,4.5644834e+03,4.5458322e+00,,,1000000000000,,,,,1091.28102,2.8030989e-03,678.71403,3.1535535e-03,6.4928666e-02,-1.1138783e-01
1517.4806841919276,,,3.0948641e-03,208816,1091.28395,678.70949,2.2390481e+03,1.0003274e+01,4.5442222e+03,4.5364637e+00,,,1000000000000,,,,,1091.28395,2.7703866e-03,678.70949,3.1254252e-03,6.4854600e-02,-1.1834418e-01
1517.482073084891,,,3.0948687e-03,208817,1091.28297,678.70743,2.2227717e+03,9.9752102e+00,4.5198276e+03,4.5250254e+00,,,1000000000000,,,,,1091.28297,2.7825537e-03,678.70743,3.1361061e-03,6.2730409e-02,-1.0998295e-01
1517.4834619776207,,,3.0948732e-03,208818,1091.28671,678.70743,2.2288784e+03,9.9660654e+00,4.4944922e+03,4.5161099e+00,,,1000000000000,,,,,1091.28671,2.7710111e-03,678.70743,3.1265256e-03,6.2809281e-02,-1.1498569e-01
1517.4848508705832,,,3.0948778e-03,208819,1091.28332,678.71221,2.2136082e+03,9.9356689e+00,4.4761372e+03,4.5046477e+00,,,1000000000000,,,,,1091.28332,2.7833693e-03,678.71221,3.1344697e-03,6.4128146e-02,-1.1337986e-01
1517.4862397633128,,,3.0948822e-03,208820,1091.28319,678.70955,2.2072664e+03,9.9179735e+00,4.4552090e+03,4.4976239e+00,,,1000000000000,,,,,1091.28319,2.7860964e-03,678.70955,3.1384425e-03,6.1830532e-02,-1.1606855e-01
1517.4876286562753,,,3.0948869e-03,208821,1091.28245,678.70947,2.2245959e+03,9.9164734e+00,4.4394233e+03,4.4899998e+00,,,1000000000000,,,,,1091.28245,2.7611565e-03,678.70947,3.1139150e-03,6.4279690e-02,-1.1435634e-01
1517.4890175490052,,,3.0948913e-03,208822,1091.28641,678.71331,2.2137334e+03,9.8863115e+00,4.4127437e+03,4.4749351e+00,,,1000000000000,,,,,1091.28641,2.7671373e-03,678.71331,3.1213888e-03,6.0480949e-02,-1.2365835e-01
1517.490406441968,,,3.0948960e-03,208823,1091.28812,678.70628,2.2214238e+03,9.8814955e+00,4.3976274e+03,4.4705620e+00,,,1000000000000,,,,,1091.28812,2.7531737e-03,678.70628,3.1120749e-03,6.5177009e-02,-1.1544149e-01
1517.4917953349304,,,3.0949006e-03,208824,1091.28203,678.71705,2.2440552e+03,9.8736963e+00,4.3653989e+03,4.4589992e+00,,,1000000000000,,,,,1091.28203,2.7265763e-03,678.71705,3.0673358e-03,6.4703420e-02,-1.0163832e-01
1517.4931842276592,,,3.0949051e-03,208825,1091.28517,678.71560,2.2274109e+03,9.8426199e+00,4.3462637e+03,4.4477444e+00,,,1000000000000,,,,,1091.28517,2.7384080e-03,678.71560,3.0840170e-03,6.4176962e-02,-1.1038211e-01
1517.4945731206226,,,3.0949097e-03,208826,1091.28697,678.70964,2.2174968e+03,9.8249540e+00,4.3291362e+03,4.4389949e+00,,,1000000000000,,,,,1091.28697,2.7407070e-03,678.70964,3.1001859e-03,6.3891076e-02,-1.1032144e-01
1517.495962013586,,,3.0949144e-03,208827,1091.28591,678.71313,2.2201436e+03,9.8074541e+00,4.3006821e+03,4.4291205e+00,,,1000000000000,,,,,1091.28591,2.7358343e-03,678.71313,3.0880948e-03,6.0206603e-02,-1.2450626e-01
1517.4973509065476,,,3.0949190e-03,208828,1091.29171,678.71420,2.2246211e+03,9.7958364e+00,4.2856836e+03,4.4217567e+00,,,1000000000000,,,,,1091.29171,2.7282473e-03,678.71420,3.0756292e-03,6.7669250e-02,-1.0645845e-01
1517.4987397992768,,,3.0949234e-03,208829,1091.28475,678.70941,2.2114812e+03,9.7732811e+00,4.2649224e+03,4.4119978e+00,,,1000000000000,,,,,1091.28475,2.7370863e-03,678.70941,3.0897681e-03,6.1534476e-02,-1.1712076e-01
1517.5001286922393,,,3.0949281e-03,208830,1091.28233,678.71125,2.2337056e+03,9.7621412e+00,4.2379707e+03,4.3996639e+00,,,1000000000000,,,,,1091.28233,2.7072025e-03,678.71125,3.0531660e-03,6.3735500e-02,-1.1132420e-01
1517.5015175852027,,,3.0949328e-03,208831,1091.28405,678.70890,2.2161904e+03,9.7403679e+00,4.2206592e+03,4.3927274e+00,,,1000000000000,,,,,1091.28405,2.7262920e-03,678.70890,3.0700376e-03,6.5005012e-02,-1.1605247e-01
1517.5029064781652,,,3.0949374e-03,208832,1091.28378,678.70278,2.2139255e+03,9.7276354e+00,4.2080483e+03,4.3847198e+00,,,1000000000000,,,,,1091.28378,2.7218952e-03,678.70278,3.0755834e-03,6.1674416e-02,-1.2026741e-01
1517.5042953711277,,,3.0949421e-03,208833,1091.28682,678.71219,2.2072878e+03,9.7017870e+00,4.1825029e+03,4.3735867e+00,,,1000000000000,,,,,1091.28682,2.7226470e-03,678.71219,3.0707112e-03,6.3487209e-02,-1.1841358e-01
1517.5056842640902,,,3.0949467e-03,208834,1091.28978,678.71583,2.2117456e+03,9.6922302e+00,4.1614009e+03,4.3668604e+00,,,1000000000000,,,,,1091.28978,2.7110509e-03,678.71583,3.0561697e-03,6.4272933e-02,-1.0846991e-01
1517.5070731570527,,,3.0949514e-03,208835,1091.28730,678.71055,2.2316038e+03,9.6870985e+00,4.1365947e+03,4.3540254e+00,,,1000000000000,,,,,1091.28730,2.6910224e-03,678.71055,3.0301288e-03,6.7170925e-02,-1.0305431e-01
1517.508462050016,,,3.0949560e-03,208836,1091.28364,678.71334,2.2238962e+03,9.6603498e+00,4.1153999e+03,4.3461366e+00,,,1000000000000,,,,,1091.28364,2.6897721e-03,678.71334,3.0325367e-03,6.1392277e-02,-1.1732112e-01
1517.5098509429786,,,3.0949607e-03,208837,1091.28614,678.71104,2.2201038e+03,9.6495876e+00,4.1020239e+03,4.3392615e+00,,,1000000000000,,,,,1091.28614,2.6924198e-03,678.71104,3.0361763e-03,6.2417090e-02,-1.1583251e-01
1517.5112398359406,,,3.0949654e-03,208838,1091.28225,678.70541,2.2080796e+03,9.6272316e+00,4.0831140e+03,4.3275580e+00,,,1000000000000,,,,,1091.28225,2.7027882e-03,678.70541,3.0497506e-03,6.4285241e-02,-1.1917034e-01
1517.5126287289024,,,3.0949700e-03,208839,1091.29122,678.70702,2.2282168e+03,9.6241398e+00,4.0661609e+03,4.3209820e+00,,,1000000000000,,,,,1091.29122,2.6766395e-03,678.70702,3.0185927e-03,6.4331569e-02,-1.1102407e-01
1517.5140176220984,,,3.0949749e-03,208840,1091.28514,678.70924,2.2337053e+03,9.6082287e+00,4.0436240e+03,4.3103924e+00,,,1000000000000,,,,,1091.28514,2.6663532e-03,678.70924,3.0056732e-03,6.1846443e-02,-1.1940675e-01
1517.5154065150618,,,3.0949796e-03,208841,1091.28397,678.71366,2.2161809e+03,9.5833006e+00,4.0242539e+03,4.3024187e+00,,,1000000000000,,,,,1091.28397,2.6794884e-03,678.71366,3.0166239e-03,6.4509787e-02,-1.1139533e-01
1517.5167954080237,,,3.0949842e-03,208842,1091.28355,678.71147,2.2245864e+03,9.5773611e+00,4.0118535e+03,4.2941070e+00,,,1000000000000,,,,,1091.28355,2.6667721e-03,678.71147,3.0030573e-03,6.2409438e-02,-1.0921064e-01
1517.5181843009864,,,3.0949889e-03,208843,1091.28259,678.71055,2.2415227e+03,9.5651464e+00,3.9824636e+03,4.2850628e+00,,,1000000000000,,,,,1091.28259,2.6468295e-03,678.71055,2.9775975e-03,6.4007737e-02,-1.1812085e-01
1517.5195731941817,,,3.0949938e-03,208844,1091.28587,678.71172,2.2157510e+03,9.5388689e+00,3.9696106e+03,4.2782006e+00,,,1000000000000,,,,,1091.28587,2.6668455e-03,678.71172,3.0027230e-03,6.5061070e-02,-1.1006632e-01
1517.5209620871442,,,3.0949984e-03,208845,1091.28108,678.70895,2.2081531e+03,9.5301895e+00,3.9527134e+03,4.2702274e+00,,,1000000000000,,,,,1091.28108,2.6785380e-03,678.70895,3.0116339e-03,6.1707415e-02,-1.2438191e-01
1517.5223509801067,,,3.0950031e-03,208846,1091.28391,678.71313,2.2240276e+03,9.5231133e+00,3.9412756e+03,4.2647810e+00,,,1000000000000,,,,,1091.28391,2.6528137e-03,678.71313,2.9865196e-03,6.8713889e-02,-1.0920801e-01
1517.523739873302,,,3.0950080e-03,208847,1091.28123,678.71907,2.2412402e+03,9.5151100e+00,3.9107249e+03,4.2504325e+00,,,1000000000000,,,,,1091.28123,2.6343644e-03,678.71907,2.9588423e-03,6.1623681e-02,-1.1083714e-01
1517.5251287662645,,,3.0950126e-03,208848,1091.28691,678.71579,2.2375435e+03,9.4939318e+00,3.8956233e+03,4.2447429e+00,,,1000000000000,,,,,1091.28691,2.6295071e-03,678.71579,2.9566744e-03,6.5949090e-02,-1.1203233e-01
